2024-07-12 08:16:04 move_to_click
2024-07-12 08:16:07 move_to_click
2024-07-12 08:16:10 move_to_click
2024-07-12 08:16:12 move_to_click
2024-07-12 08:16:14 move_to_click
2024-07-12 08:16:16 move_to_click
2024-07-12 08:16:19 move_to_click
2024-07-12 08:16:21 move_to_click
2024-07-12 08:16:23 move_to_click
2024-07-12 08:16:26 move_to_click
2024-07-12 08:16:28  it = 18
2024-07-12 08:16:28 attack = Point(x=643, y=311)
2024-07-12 08:16:28 move_to_click
2024-07-12 08:16:30 link_arena = None
2024-07-12 08:16:31 link_arena = Point(x=388, y=176)
2024-07-12 08:16:32 безоружен
2024-07-12 08:16:32 ожидание боя
2024-07-12 08:20:29 in_battl = Point(x=272, y=598)
2024-07-12 08:20:29 move_to_click
2024-07-12 08:20:31 ожидание пропустить бой
2024-07-12 08:20:33 in_battle
2024-07-12 08:20:34 skip_battle = Point(x=386, y=121)
2024-07-12 08:20:34 пропускаем бой
2024-07-12 08:20:34 move_to_click
2024-07-12 08:20:36 ожидание close
2024-07-12 08:20:36 ожидание close
2024-07-12 08:20:37 ожидание close
2024-07-12 08:20:37 ожидание close
2024-07-12 08:20:38 ожидание close
2024-07-12 08:20:39 закрыть результат боя
2024-07-12 08:20:39 move_to_click
2024-07-12 08:20:41 arena.battle_in_arena
2024-07-12 08:20:41 quantity_battles = 8
2024-07-12 08:20:42 go_in_hall_glory
2024-07-12 08:20:43 link_in_hall_glory = None
2024-07-12 08:20:43 hall_glory = Point(x=728, y=121)
2024-07-12 08:20:43 close = None
2024-07-12 08:20:43 hall_glory = Point(x=728, y=121)
2024-07-12 08:20:43 move_to_click
2024-07-12 08:20:48 link_in_hall_glory = , Point(x=384, y=168)
2024-07-12 08:20:48 hero_arena = , None
2024-07-12 08:20:48 поиск противника
2024-07-12 08:20:49 move_to_click
2024-07-12 08:20:51 move_to_click
2024-07-12 08:20:53 move_to_click
2024-07-12 08:20:55 move_to_click
2024-07-12 08:20:58 move_to_click
2024-07-12 08:21:00 move_to_click
2024-07-12 08:21:03 move_to_click
2024-07-12 08:21:05 move_to_click
2024-07-12 08:21:08 move_to_click
2024-07-12 08:21:10 move_to_click
2024-07-12 08:21:12 move_to_click
2024-07-12 08:21:15 move_to_click
2024-07-12 08:21:17 move_to_click
2024-07-12 08:21:20 move_to_click
2024-07-12 08:21:22 move_to_click
2024-07-12 08:21:24 move_to_click
2024-07-12 08:21:26 move_to_click
2024-07-12 08:21:29 move_to_click
2024-07-12 08:21:31  it = 18
2024-07-12 08:21:31 attack = Point(x=643, y=311)
2024-07-12 08:21:31 move_to_click
2024-07-12 08:21:33 link_arena = None
2024-07-12 08:21:35 link_arena = Point(x=388, y=176)
2024-07-12 08:21:36 безоружен
2024-07-12 08:21:36 ожидание боя
2024-07-12 08:25:32 in_battl = Point(x=272, y=598)
2024-07-12 08:25:32 move_to_click
2024-07-12 08:25:33 ожидание пропустить бой
2024-07-12 08:25:36 in_battle
2024-07-12 08:25:36 skip_battle = Point(x=386, y=121)
2024-07-12 08:25:37 пропускаем бой
2024-07-12 08:25:37 move_to_click
2024-07-12 08:25:38 ожидание close
2024-07-12 08:25:39 ожидание close
2024-07-12 08:25:39 ожидание close
2024-07-12 08:25:40 ожидание close
2024-07-12 08:25:41 ожидание close
2024-07-12 08:25:42 закрыть результат боя
2024-07-12 08:25:42 move_to_click
2024-07-12 08:25:44 arena.battle_in_arena
2024-07-12 08:25:44 quantity_battles = 9
2024-07-12 08:25:45 go_in_hall_glory
2024-07-12 08:25:46 link_in_hall_glory = None
2024-07-12 08:25:46 hall_glory = None
2024-07-12 08:25:46 close = None
2024-07-12 08:25:47 hall_glory = Point(x=728, y=121)
2024-07-12 08:25:47 move_to_click
2024-07-12 08:25:52 link_in_hall_glory = , Point(x=384, y=168)
2024-07-12 08:25:52 hero_arena = , None
2024-07-12 08:25:52 поиск противника
2024-07-12 08:25:52 move_to_click
2024-07-12 08:25:55 move_to_click
2024-07-12 08:25:57 move_to_click
2024-07-12 08:26:00 move_to_click
2024-07-12 08:26:03 move_to_click
2024-07-12 08:26:05 move_to_click
2024-07-12 08:26:07 move_to_click
2024-07-12 08:26:10 move_to_click
2024-07-12 08:26:12 move_to_click
2024-07-12 08:26:14 move_to_click
2024-07-12 08:26:17 move_to_click
2024-07-12 08:26:19 move_to_click
2024-07-12 08:26:21 move_to_click
2024-07-12 08:26:23 move_to_click
2024-07-12 08:26:26 move_to_click
2024-07-12 08:26:28 move_to_click
2024-07-12 08:26:30 move_to_click
2024-07-12 08:26:32 move_to_click
2024-07-12 08:26:34  it = 18
2024-07-12 08:26:34 attack = Point(x=643, y=311)
2024-07-12 08:26:34 move_to_click
2024-07-12 08:26:36 link_arena = None
2024-07-12 08:26:38 link_arena = Point(x=388, y=176)
2024-07-12 08:26:38 безоружен
2024-07-12 08:26:39 ожидание боя
2024-07-12 08:30:35 in_battl = Point(x=272, y=598)
2024-07-12 08:30:35 move_to_click
2024-07-12 08:30:37 ожидание пропустить бой
2024-07-12 08:30:40 in_battle
2024-07-12 08:30:40 skip_battle = Point(x=386, y=121)
2024-07-12 08:30:40 пропускаем бой
2024-07-12 08:30:40 move_to_click
2024-07-12 08:30:42 ожидание close
2024-07-12 08:30:43 ожидание close
2024-07-12 08:30:43 ожидание close
2024-07-12 08:30:44 ожидание close
2024-07-12 08:30:44 ожидание close
2024-07-12 08:30:45 закрыть результат боя
2024-07-12 08:30:45 move_to_click
2024-07-12 08:30:48 arena.battle_in_arena
2024-07-12 08:30:48 quantity_battles = 10
2024-07-12 08:30:48 go_in_hall_glory
2024-07-12 08:30:49 link_in_hall_glory = None
2024-07-12 08:30:49 hall_glory = Point(x=728, y=121)
2024-07-12 08:30:49 close = Point(x=389, y=626)
2024-07-12 08:30:49 fun.push_close
2024-07-12 08:30:49 close = Point(x=389, y=626)
2024-07-12 08:30:49 move_to_click
2024-07-12 08:30:55 hall_glory = Point(x=728, y=121)
2024-07-12 08:30:55 move_to_click
2024-07-12 08:31:00 link_in_hall_glory = , Point(x=384, y=168)
2024-07-12 08:31:00 hero_arena = , None
2024-07-12 08:31:00 поиск противника
2024-07-12 08:31:01 move_to_click
2024-07-12 08:31:03 move_to_click
2024-07-12 08:31:05 move_to_click
2024-07-12 08:31:08 move_to_click
2024-07-12 08:31:10 move_to_click
2024-07-12 08:31:12 move_to_click
2024-07-12 08:31:14 move_to_click
2024-07-12 08:31:17 move_to_click
2024-07-12 08:31:19 move_to_click
2024-07-12 08:31:21 move_to_click
2024-07-12 08:31:23 move_to_click
2024-07-12 08:31:26 move_to_click
2024-07-12 08:31:28 move_to_click
2024-07-12 08:31:31 move_to_click
2024-07-12 08:31:33 move_to_click
2024-07-12 08:31:35 move_to_click
2024-07-12 08:31:38 move_to_click
2024-07-12 08:31:40 move_to_click
2024-07-12 08:31:42  it = 18
2024-07-12 08:31:42 attack = Point(x=643, y=311)
2024-07-12 08:31:42 move_to_click
2024-07-12 08:31:44 link_arena = None
2024-07-12 08:31:46 link_arena = Point(x=388, y=164)
2024-07-12 08:31:46 безоружен
2024-07-12 08:31:47 ожидание боя
2024-07-12 08:35:39 in_battl = Point(x=272, y=598)
2024-07-12 08:35:39 move_to_click
2024-07-12 08:35:41 ожидание пропустить бой
2024-07-12 08:35:43 in_battle
2024-07-12 08:35:44 skip_battle = Point(x=386, y=121)
2024-07-12 08:35:44 пропускаем бой
2024-07-12 08:35:44 move_to_click
2024-07-12 08:35:46 ожидание close
2024-07-12 08:35:46 ожидание close
2024-07-12 08:35:47 ожидание close
2024-07-12 08:35:47 ожидание close
2024-07-12 08:35:48 ожидание close
2024-07-12 08:35:49 закрыть результат боя
2024-07-12 08:35:49 move_to_click
2024-07-12 08:35:51 arena.battle_in_arena
